INPUT:previous	INPUT:sentence	INPUT:following	INPUT:quiz_file	INPUT:answer_num	INPUT:question_num	INPUT:sentence_num	TASK:id	TASK:overlap	TASK:remaining_overlap	TASK:assignments_count
 This victory secured Spain's third major international tournament win in a row, following their victories in the Euro 2008 and the 2010 World Cup	 Italy's defeat marked the end of their impressive run in the tournament, where they had reached the final despite being considered underdogs		artifacts\v6\filtered_pop_quiz_4.json	4	0	3	000279d650--6514898fba0d275c33251966	5	1	https://en.wikipedia.org/wiki/History_of_the_Italy_national_football_team#2010–2014:_European_Championship_runners-up
"
The correct answer is a) Agricultural declination"	 During the Great Depression in the United Kingdom, there was a significant decline in agricultural production	 This was due to a decrease in demand for agricultural products, as people had less disposable income to spend on food	artifacts\v6\filtered_pop_quiz_3.json	0	0	0	000279d650--65148990ba0d275c332519ee	17	3	https://en.wikipedia.org/wiki/Great_depression_of_British_agriculture
	Balboa, a Spanish explorer, was the first European to encounter the Pacific Ocean	 In 1513, he crossed the Isthmus of Panama and reached the western coast of what is now known as Panama	artifacts\v6\filtered_pop_quiz_1.json	7	0	0	000279d650--65148990ba0d275c33251a0e	3	3	https://en.wikipedia.org/wiki/Vasco_N%C3%BA%C3%B1ez_de_Balboa
 In the Euro 2012 final, Spain defeated Italy with a score of 4-0	 Spain's goals were scored by David Silva and Jordi Alba	 This victory secured Spain's status as the first team to win three consecutive major international tournaments (Euro 2008, World Cup 2010, and Euro 2012)	artifacts\v6\filtered_pop_quiz_4.json	4	0	1	000279d650--65148990ba0d275c33251a14	3	3	https://en.wikipedia.org/wiki/David_Silva#UEFA_Euro_2012
"
The correct answer is a) 2-0"	 In the Euro 2012 final, Spain defeated Italy with a score of 4-0	 Spain's goals were scored by David Silva and Jordi Alba	artifacts\v6\filtered_pop_quiz_4.json	4	0	0	000279d650--65148990ba0d275c33251a38	3	3	https://en.wikipedia.org/wiki/UEFA_Euro_2012_final
 During the Great Depression in the United Kingdom, there was a significant decline in agricultural production	 This was due to factors such as reduced demand for agricultural products, falling prices, and a decrease in the availability of credit for farmers	 The decline in agriculture had a profound impact on the rural economy and led to increased unemployment and poverty in farming communities	artifacts\v6\filtered_pop_quiz_3.json	0	0	1	000279d650--65148990ba0d275c33251a58	3	3	https://en.wikipedia.org/wiki/Causes_of_the_Great_Depression#Productivity_or_technology_shock
 This was due to factors such as reduced demand for agricultural products, falling prices, and a decrease in the availability of credit for farmers	 The decline in agriculture had a profound impact on the rural economy and led to increased unemployment and poverty in farming communities	 The agricultural declination also contributed to food shortages and increased reliance on imported goods, further exacerbating the economic hardships faced by the country during this period	artifacts\v6\filtered_pop_quiz_3.json	0	0	2	000279d650--65148990ba0d275c33251a5a	3	3	https://en.wikipedia.org/wiki/Great_depression_of_British_agriculture
 The decline in agriculture had a profound impact on the rural economy and led to increased unemployment and poverty in farming communities	 The agricultural declination also contributed to food shortages and increased reliance on imported goods, further exacerbating the economic hardships faced by the country during this period		artifacts\v6\filtered_pop_quiz_3.json	0	0	3	000279d650--65148990ba0d275c33251a5c	3	3	https://en.wikipedia.org/wiki/Great_depression_of_British_agriculture
 Circumnavigating the globe was accomplished by Ferdinand Magellan and his crew in the early 16th century	 Sailing around the Cape of Good Hope was achieved by Portuguese explorer Bartolomeu Dias in 1488	 The Horn of Africa was encountered by various explorers throughout history, but Balboa's achievement was specifically related to his discovery of the Pacific Ocean	artifacts\v6\filtered_pop_quiz_1.json	7	0	2	000279d650--65148990ba0d275c33251a68	3	3	https://en.wikipedia.org/wiki/Bartolomeu_Dias#Legacy
 There, he became the first European to see and explore the Pacific Ocean	 The first person to circumnavigate the globe was Ferdinand Magellan, who completed the journey in 1522	 Sailing around the Cape of Good Hope was achieved by Portuguese explorer Bartolomeu Dias in 1488	artifacts\v6\filtered_pop_quiz_1.json	7	0	1	000279d650--65148991ba0d275c33251a9e	3	3	https://en.wikipedia.org/wiki/Ferdinand_Magellan
 Spain's goals were scored by David Silva and Jordi Alba	 This victory secured Spain's third major international tournament win in a row, following their victories in the Euro 2008 and the 2010 World Cup	 Italy's defeat marked the end of their impressive run in the tournament, where they had reached the final despite being considered underdogs	artifacts\v6\filtered_pop_quiz_4.json	4	0	2	000279d650--65148992ba0d275c33251b5c	4	3	https://en.wikipedia.org/wiki/History_of_the_Spain_national_football_team#UEFA_Euro_2012_champions
